INFO 2025-06-26 05:23:52,682 autoreload Watching for file changes with StatReloader
DEBUG 2025-06-26 05:23:52,687 autoreload Waiting for apps ready_event.
DEBUG 2025-06-26 05:23:53,198 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-06-26 05:23:53,218 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\templates with glob **/*.
DEBUG 2025-06-26 05:23:53,219 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django_filters\templates with glob **/*.
DEBUG 2025-06-26 05:23:53,221 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django_celery_beat\templates with glob **/*.
DEBUG 2025-06-26 05:23:53,223 autoreload Watching dir C:\Users\ken_u\Desktop\Projects\nametrackerapi\templates with glob **/*.
DEBUG 2025-06-26 05:23:53,224 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-06-26 05:23:53,230 autoreload Watching dir C:\Users\ken_u\Desktop\Projects\nametrackerapi\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,231 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,234 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\rest_framework\authtoken\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,237 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,242 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,247 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\account\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,255 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,262 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,264 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\dj_rest_auth\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,270 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\dj_rest_auth\registration\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,271 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django_filters\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,273 autoreload Watching dir C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django_celery_beat\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:53,284 autoreload Watching dir C:\Users\ken_u\Desktop\Projects\nametrackerapi\api\locale with glob **/*.mo.
DEBUG 2025-06-26 05:23:54,104 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\DLLs\_ssl.pyd first seen with mtime 1666661688.0
DEBUG 2025-06-26 05:23:54,105 autoreload File C:\Users\ken_u\AppData\Local\Programs\Python\Python311\Lib\_markupbase.py first seen with mtime 1666661648.0
DEBUG 2025-06-26 05:23:54,106 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\db\models\functions\json.py first seen with mtime 1750094650.155138
DEBUG 2025-06-26 05:23:54,113 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\__init__.py first seen with mtime 1748619260.8933764
DEBUG 2025-06-26 05:23:54,115 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\cryptography\hazmat\primitives\serialization\base.py first seen with mtime 1748619260.8933764
DEBUG 2025-06-26 05:23:54,116 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\tzdata\zoneinfo\Australia\__init__.py first seen with mtime 1748619232.675534
DEBUG 2025-06-26 05:23:54,121 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\http\request.py first seen with mtime 1750094650.296393
DEBUG 2025-06-26 05:23:54,129 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\celery\utils\functional.py first seen with mtime 1750062694.4495099
DEBUG 2025-06-26 05:23:54,131 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\template\autoreload.py first seen with mtime 1750094650.3113716
DEBUG 2025-06-26 05:23:54,132 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\celery\loaders\base.py first seen with mtime 1750062694.4361012
DEBUG 2025-06-26 05:23:54,135 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\contrib\auth\tokens.py first seen with mtime 1750094646.6126952
DEBUG 2025-06-26 05:23:54,146 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\requests\utils.py first seen with mtime 1750488558.5885873
DEBUG 2025-06-26 05:23:54,165 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\billiard\context.py first seen with mtime 1750062696.9956512
DEBUG 2025-06-26 05:23:54,167 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\requests\__init__.py first seen with mtime 1750488558.5732493
DEBUG 2025-06-26 05:23:54,169 autoreload File C:\Users\ken_u\.virtualenvs\nametrackerapi--9UYBsfM\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1750094650.4145882
